,Unnamed: 0,French,English
0,0,histoire,history
1,1,chercher,search
2,2,seulement,only
3,5,aide,help
4,6,demande,request
5,8,mois,month
6,9,frère,brother
7,10,laisser,let
8,11,car,because
9,12,mettre,to put
10,13,aucun,no
11,14,laisse,leash
12,15,eux,them
13,16,ville,city
14,17,chaque,each
15,18,parlé,speak
16,19,arrivé,come
17,20,devrait,should
18,21,longtemps,long time
19,22,heures,hours
20,23,vont,will
21,24,revoir,meet again
22,25,aucune,any
23,26,place,square
24,27,parle,speak
25,28,compris,understood
26,29,savais,knew
27,30,étaient,were
28,31,attention,Warning
29,32,voici,here is
30,34,affaire,case
31,35,type,type
32,36,leurs,their
33,37,donné,given
34,38,train,train
35,39,yeux,eyes
36,40,façon,way
37,41,dont,whose
38,42,trouve,find
39,43,perdu,lost
40,44,main,hand
41,45,première,first
42,46,côté,side
43,47,pouvoir,power
44,48,vieux,old
45,49,sois,be
46,50,tiens,here
47,51,matin,morning
48,54,point,point
49,55,venu,came
50,56,suite,after
51,57,pardon,sorry
52,58,venez,come
53,59,devant,in front of
54,60,vers,towards
55,62,mis,placed
56,63,belle,beautiful
57,64,droit,law
58,65,aimerais,would like to
59,66,aujourd'hui,today
60,67,mari,husband
61,68,cause,cause
62,69,enfin,finally
63,70,espère,hope
64,71,eau,water
65,72,attendez,Wait
66,73,parti,left
67,74,nouvelle,new
68,75,boulot,job
69,76,arrêter,Stop
70,78,compte,account
71,79,donne,given
72,80,loin,far
73,81,fin,end
74,82,croire,believe
75,83,gros,large
76,84,plutôt,rather
77,85,filles,girls
78,86,jouer,to play
